break_value,accel_value,speed,timestamp
0.0,131.0,50.0,2024-04-12 07:44:16.323168+00:00
103.0,128.0,53.0,2024-04-12 07:44:17.350244+00:00
86.0,0.0,55.0,2024-04-12 07:44:18.372932+00:00
0.0,130.0,55.0,2024-04-12 07:44:19.296325+00:00
142.0,143.0,57.0,2024-04-12 07:44:20.228382+00:00
144.0,0.0,59.0,2024-04-12 07:44:21.233954+00:00
0.0,118.0,59.0,2024-04-12 07:44:22.226719+00:00
115.0,130.0,60.0,2024-04-12 07:44:23.287383+00:00
149.0,0.0,61.0,2024-04-12 07:44:24.314137+00:00
0.0,135.0,61.0,2024-04-12 07:44:25.228899+00:00
160.0,112.0,61.0,2024-04-12 07:44:26.232892+00:00
204.0,0.0,60.0,2024-04-12 07:44:27.384709+00:00
0.0,0.0,60.0,2024-04-12 07:44:28.304159+00:00
560.0,0.0,59.0,2024-04-12 07:44:29.328719+00:00
508.0,0.0,59.0,2024-04-12 07:44:30.251620+00:00
197.0,0.0,56.0,2024-04-12 07:44:31.270899+00:00
336.0,0.0,50.0,2024-04-12 07:44:32.303396+00:00
559.0,0.0,50.0,2024-04-12 07:44:33.321209+00:00
356.0,0.0,43.0,2024-04-12 07:44:34.349615+00:00
725.0,0.0,35.0,2024-04-12 07:44:35.372774+00:00
465.0,0.0,35.0,2024-04-12 07:44:36.397620+00:00
182.0,0.0,27.0,2024-04-12 07:44:37.419569+00:00
533.0,0.0,19.0,2024-04-12 07:44:38.379603+00:00
511.0,0.0,19.0,2024-04-12 07:44:39.266860+00:00
206.0,0.0,12.0,2024-04-12 07:44:40.289187+00:00
527.0,0.0,8.0,2024-04-12 07:44:41.325388+00:00
521.0,0.0,8.0,2024-04-12 07:44:42.338794+00:00
208.0,0.0,5.0,2024-04-12 07:44:43.231197+00:00
542.0,0.0,5.0,2024-04-12 07:44:44.229279+00:00
589.0,0.0,5.0,2024-04-12 07:44:45.305216+00:00
304.0,0.0,3.0,2024-04-12 07:44:46.327048+00:00
458.0,0.0,3.0,2024-04-12 07:44:47.250141+00:00
610.0,0.0,3.0,2024-04-12 07:44:48.274332+00:00
374.0,0.0,2.0,2024-04-12 07:44:49.401997+00:00
582.0,0.0,3.0,2024-04-12 07:44:50.414671+00:00
554.0,0.0,3.0,2024-04-12 07:44:51.243749+00:00
473.0,0.0,3.0,2024-04-12 07:44:52.271009+00:00
733.0,0.0,2.0,2024-04-12 07:44:53.288372+00:00
702.0,0.0,2.0,2024-04-12 07:44:54.313437+00:00
429.0,0.0,2.0,2024-04-12 07:44:55.338487+00:00
543.0,0.0,2.0,2024-04-12 07:44:56.315431+00:00
602.0,0.0,2.0,2024-04-12 07:44:57.291997+00:00
449.0,0.0,1.0,2024-04-12 07:44:58.301563+00:00
746.0,0.0,1.0,2024-04-12 07:44:59.333934+00:00
859.0,0.0,1.0,2024-04-12 07:45:00.359479+00:00
529.0,0.0,1.0,2024-04-12 07:45:01.389634+00:00
737.0,0.0,1.0,2024-04-12 07:45:02.409550+00:00
