break_value,speed,timestamp
0,49,2024-04-12 07:49:53.530940+00:00
0,45,2024-04-12 07:49:54.551898+00:00
18,42,2024-04-12 07:49:55.577406+00:00
0,42,2024-04-12 07:49:56.405987+00:00
0,42,2024-04-12 07:49:57.415905+00:00
0,44,2024-04-12 07:49:58.443861+00:00
0,44,2024-04-12 07:49:59.466808+00:00
0,46,2024-04-12 07:50:00.380940+00:00
15,47,2024-04-12 07:50:01.618307+00:00
0,47,2024-04-12 07:50:02.537478+00:00
0,47,2024-04-12 07:50:03.562904+00:00
80,47,2024-04-12 07:50:04.485635+00:00
73,47,2024-04-12 07:50:05.407000+00:00
0,47,2024-04-12 07:50:06.430616+00:00
81,47,2024-04-12 07:50:07.450413+00:00
84,47,2024-04-12 07:50:08.480371+00:00
0,47,2024-04-12 07:50:09.495584+00:00
128,48,2024-04-12 07:50:10.525687+00:00
112,48,2024-04-12 07:50:12.366914+00:00
122,51,2024-04-12 07:50:13.414145+00:00
112,51,2024-04-12 07:50:14.417731+00:00
16,53,2024-04-12 07:50:15.441281+00:00
27,54,2024-04-12 07:50:18.620643+00:00
97,54,2024-04-12 07:50:19.741011+00:00
105,54,2024-04-12 07:50:20.559603+00:00
290,53,2024-04-12 07:50:21.590558+00:00
356,53,2024-04-12 07:50:22.608113+00:00
259,53,2024-04-12 07:50:23.634061+00:00
39,50,2024-04-12 07:50:24.661332+00:00
256,50,2024-04-12 07:50:25.681178+00:00
291,44,2024-04-12 07:50:26.710893+00:00
409,38,2024-04-12 07:50:27.725864+00:00
253,38,2024-04-12 07:50:28.549095+00:00
318,35,2024-04-12 07:50:29.572625+00:00
153,34,2024-04-12 07:50:30.598092+00:00
167,34,2024-04-12 07:50:31.622618+00:00
81,33,2024-04-12 07:50:32.646477+00:00
34,32,2024-04-12 07:50:33.671280+00:00
0,32,2024-04-12 07:50:34.692645+00:00
5,32,2024-04-12 07:50:35.542600+00:00
0,33,2024-04-12 07:50:36.644858+00:00
0,33,2024-04-12 07:50:37.555595+00:00
0,35,2024-04-12 07:50:38.579150+00:00
0,38,2024-04-12 07:50:39.610331+00:00
0,38,2024-04-12 07:50:40.637183+00:00
0,40,2024-04-12 07:50:41.657419+00:00
0,43,2024-04-12 07:50:42.706238+00:00
0,43,2024-04-12 07:50:43.600943+00:00
0,46,2024-04-12 07:50:44.624956+00:00
0,47,2024-04-12 07:50:45.534393+00:00
0,47,2024-04-12 07:50:46.573477+00:00
0,46,2024-04-12 07:50:47.597543+00:00
0,46,2024-04-12 07:50:48.622708+00:00
0,46,2024-04-12 07:50:49.646516+00:00
0,45,2024-04-12 07:50:50.653473+00:00
0,44,2024-04-12 07:50:51.707997+00:00
0,44,2024-04-12 07:50:52.658605+00:00
0,43,2024-04-12 07:50:53.634540+00:00
631,42,2024-04-12 07:50:54.556032+00:00
439,42,2024-04-12 07:50:55.581271+00:00
432,39,2024-04-12 07:50:56.617001+00:00
432,33,2024-04-12 07:50:57.530807+00:00
284,33,2024-04-12 07:50:58.532632+00:00
362,25,2024-04-12 07:50:59.553968+00:00
560,20,2024-04-12 07:51:00.704389+00:00
461,20,2024-04-12 07:51:01.727284+00:00
368,16,2024-04-12 07:51:02.655607+00:00
